225600361, Dang Dinh Trang, 09535629127, 98; Xã Vân Hà; Huyện Đông Anh; Thành phố Hà Nội,  Đồng hồ điện tử nam nữ AOSUN Q121 mẫu mới tuyệt đẹp, 28000, 9, 252000
1356630372, Ngo Dinh Hien, 09626187920, 82; Xã Kim Thư; Huyện Thanh Oai; Thành phố Hà Nội,  Đồng hồ điện tử Led Mtt5 trẻ em nhân vật hoạt hình ngộ nghĩnh TT56, 16000, 2, 32000
1052782005, Mac Hoang Hong, 09922897361, 10; Xã Yên Bình; Huyện Thạch Thất; Thành phố Hà Nội,  ( Giá Sỉ ) Đồng hồ thời trang nam nữ Sport điện tử full chức năng Sc19, 26000, 2, 52000
989390402, Trinh Hanh Loc, 09947845036, 91; Thị trấn Phú Minh; Huyện Phú Xuyên; Thành phố Hà Nội,  Pin đồng hồ phổ thông MAXAELL LR626 giá siêu rẻ, 1000, 1, 1000
718607693, Vuong Duc Doan, 09206155476, 88; Xã Văn Nhân; Huyện Phú Xuyên; Thành phố Hà Nội,  ĐỒNG HỒ TRẺ EM JISU ĐEO TAY 144 ĐUỔI MUỖI PHÁT SÁNG LED HÌNH CON VẬT THỜI TRANG, 12800, 5, 64000
191465523, Bach Hanh Loan, 09745254744, 90; Xã Bột Xuyên; Huyện Mỹ Đức; Thành phố Hà Nội,  KHÓA BƯỚM ĐỒNG HỒ THÉP KHÔNG GỈ DÙNG CHO DÂY DA (NHIỀU MÀU, 49000, 3, 147000
1030541855, Chu Hoang Nhi, 09688431492, 24; Xã Đồng Tâm; Huyện Mỹ Đức; Thành phố Hà Nội,  Dây đeo thay thế đồng hồ chất liệu TPU thiết kế nhiều lỗ thời trang cho Xiaomi Mi Band 3/4, 7500, 6, 45000
861343930, Nguyen Hoang Hue, 09664950487, 99; Xã Xuân Phú; Huyện Phúc Thọ; Thành phố Hà Nội,  Đồng Hồ Nam FNGEEN Thép Không Gỉ Mạ Vàng Ánh Kim, 195000, 1, 195000
420167083, An Thi Dung, 09226106159, 15; Phường Gia Thụy; Quận Long Biên; Thành phố Hà Nội,  (Giá sỉ) Hộp đựng đồng hồ màu đen, 2900, 4, 11600
821932645, Ngo Thu Nong, 09177115977, 52; Xã Liên Hà; Huyện Đan Phượng; Thành phố Hà Nội,  Đồng hồ điện tử nam nữ SPORTS thể thao, 29000, 6, 174000
1607147011, An Hanh Lan, 09563948129, 64; Phường Khương Trung; Quận Thanh Xuân; Thành phố Hà Nội,  Đồng Hồ Nữ Cao Cấp Kevin, 250000, 3, 750000
270501911, Ngo Chau Phuong, 09850963856, 51; Xã Việt Long; Huyện Sóc Sơn; Thành phố Hà Nội,  Đồng hồ đeo tay phong cách Elsa/Anna thời trang cho bé, 29580, 1, 29580
102737478, Tran Dai Nong, 09848103044, 100; Xã Việt Long; Huyện Sóc Sơn; Thành phố Hà Nội,  Đồng hồ điện tử nam nữ SPPORS thể thao, 25000, 4, 100000
131940558, Ho Dai Thuong, 09317596217, 11; Xã Hương Ngải; Huyện Thạch Thất; Thành phố Hà Nội,  Đồng Hồ Nam Cao Cấp KEVIN, 250000, 8, 2000000
1321834602, Ngo Dai Tuyet, 09185975388, 41; Xã Tích Giang; Huyện Phúc Thọ; Thành phố Hà Nội,  Đồng Hồ Trẻ Em ZGO DISNEY Silicon, 15000, 3, 45000
355827599, Pham Van Nong, 09643338604, 13; Phường Phúc Xá; Quận Ba Đình; Thành phố Hà Nội,  Pin đồng hồ đeo tay 1K Alkaline Battery loại nhỏ 1.5V AG4 377A CX177 LR626W, 1000, 8, 8000
