108906524, Dang Dinh Trang, 09535629127, 1; Xã Xuân Phú; Huyện Phúc Thọ; Thành phố Hà Nội,  Xe máy điện VinFast Klara S, 39900, 9, 359100
735881624, Ngo Dinh Hien, 09626187920, 71; Xã Tiền Yên; Huyện Hoài Đức; Thành phố Hà Nội,  Xe máy điện Vinfast Ludo, 12900, 2, 25800
604131495, Mac Hoang Hong, 09922897361, 7; Phường Phú Thịnh; Thị xã Sơn Tây; Thành phố Hà Nội,  Xe máy Honda Air Blade 2020 , 40790, 2, 81580
335353449, Trinh Hanh Loc, 09947845036, 95; Xã Thanh Mỹ; Thị xã Sơn Tây; Thành phố Hà Nội,  Xe máy điện Vinfast Impes, 14900, 1, 14900
1288327615, Vuong Duc Doan, 09206155476, 66; Xã Xuy Xá; Huyện Mỹ Đức; Thành phố Hà Nội,  Mũ Bảo Hiểm có kính 3, 145000, 5, 725000
1992096251, Bach Hanh Loan, 09745254744, 64; Phường Thụy Khuê; Quận Tây Hồ; Thành phố Hà Nội,  Xe máy Honda Air Blade 2020 , 52490, 3, 157470
1891633827, Chu Hoang Nhi, 09688431492, 75; Phường Hàng Buồm; Quận Hoàn Kiếm; Thành phố Hà Nội,  Mũ Bảo Hiểm ¾ Đầu Hai Kính Dành Cho Phượt Thủ Nhiều Màu Cá Tính Napoli N125, 333000, 6, 1998000
1341820201, Nguyen Hoang Hue, 09664950487, 65; Xã Duyên Thái; Huyện Thường Tín; Thành phố Hà Nội,  Xe Máy Honda SH 150i Phanh CBS 2020, 101300, 1, 101300
1246341060, An Thi Dung, 09226106159, 94; Xã Hòa Bình; Huyện Thường Tín; Thành phố Hà Nội,  Xe máy điện VinFast Ludo Mint To Be , 6300, 4, 25200
698702582, Ngo Thu Nong, 09177115977, 100; Xã Châu Sơn; Huyện Ba Vì; Thành phố Hà Nội,  Xe Máy Honda SH Mode 125cc 2020 , 64390, 6, 386340
653713878, An Hanh Lan, 09563948129, 35; Xã Hữu Hoà; Huyện Thanh Trì; Thành phố Hà Nội,  Bảng số điện thoại gắn taplo ô tô, 12700, 3, 38100
442809494, Ngo Chau Phuong, 09850963856, 75; Xã Đại Yên; Huyện Chương Mỹ; Thành phố Hà Nội,  Xe Máy Honda Vision 2019 Bản Cao Cấp Smartkey, 33900, 1, 33900
1268328803, Tran Dai Nong, 09848103044, 71; Phường Vĩnh Tuy; Quận Hai Bà Trưng; Thành phố Hà Nội,  Xe máy Honda Air Blade 2020 , 41300, 4, 165200
879511899, Ho Dai Thuong, 09317596217, 9; Phường Ngô Thì Nhậm; Quận Hai Bà Trưng; Thành phố Hà Nội,  Xe máy Honda Lead Cao Cấp 2019 , 41790, 8, 334320
826544192, Ngo Dai Tuyet, 09185975388, 33; Thị trấn Văn Điển; Huyện Thanh Trì; Thành phố Hà Nội,  Xe Máy Honda SH Mode 125cc 2020 , 72890, 3, 218670
